text,mentions,affect,commitment_label,weight
皆さん、今日は初めての昼です。お互いの情報を共有し、誰が人狼かを見極めるために、積極的に議論を進めて,null,P4,,
ベンジャミン、良い提案ですね！初日の昼は情報を共有する大事な時間です。私も自分の考えを言いますが、皆,"[{""target"": ""ベンジャミン"", ""valence"": 0.3333333333333333, ""raw"": ""ベンジャミン、良い提案ですね！""}]",P4,,
皆さん、初日の昼は本当に大事な時間ですね。私も情報を共有したいと思います。まず、どのようなことを話し,null,P3,,
皆さん、初日の昼は重要な時間です。お互いの意見や考えを尊重して、積極的に情報を共有しましょう。私も何,null,P3,,
みんな、初日の昼は本当に大事だね！私も何か話したいことがあるよ。最近の村の様子を見て、ちょっと気にな,null,P2,,
皆さん、初日の昼は非常に重要ですね。お互いの考えや情報をしっかりと共有していきましょう。私も最近の村,null,P3,,
皆さん、初日の昼は本当に大事ですね！私も最近の村の様子を見て気になっていることがあります。みんなの意,null,P3,,
皆さん、初日の昼は本当に重要ですね。私も最近の村の様子を見て、いくつか気になっていることがあります。,null,P3,,
皆さん、意見を出してくれてありがとうございます。私も最近の村の様子で気になっていることがありますが、,null,P2,,
みんなが意見を出してくれて嬉しいな！私は最近の村の様子を見て、みんながどんな考えを持っているのか気に,null,P2,,
皆さん、意見を出してくれてありがとうございます。初日ですので、皆さんの考えや気になる点をぜひお聞かせ,null,P2,,
皆さん、初日の昼は本当に重要ですね！私も最近の村の様子を見て、気になっていることがあります。特に、誰,null,P3,,
皆さん、初日の意見交換が進んでいるようですね。私もこの村の状況について、皆さんの考えをお聞きしたいで,null,P2,,
皆さん、意見を出していただいて本当に嬉しいです。私も気になる点がいくつかありますが、まずは皆さんの意,null,P2,,
みんな、意見交換が活発で嬉しいな！初日だからこそ、じっくり話し合いたいね。私も気になることがあったら,null,P2,,
皆さんの意見を聞くのはとても重要ですね。初日ですから、お互いの意見を尊重しながら、どんな点が気になる,null,P3,,
皆さん、意見交換が進んでいてとても良いですね！私も気になる点がありますが、まずは他の方々の意見をもっ,null,P3,,
私も皆さんの意見を聞くことができて嬉しいです。初日は特に大切ですから、しっかり意見を交換して、村の状,null,P4,,
皆さん、意見交換が活発で本当に嬉しいです。初日はお互いの考えを知る良い機会ですね。私も気になる点がい,null,P4,,
みんな、意見交換が進んでいて本当に良い雰囲気だね！初日は特に大切だから、お互いの考えをしっかり聞いて,null,P4,,
皆さん、初日の議論はとても重要ですので、どうか遠慮なく意見を述べてください。私自身も、他の方々の考え,null,P3,,
皆さん、本当に素晴らしい議論が続いていますね。私もこの村のために、できるだけのことをしたいと思ってい,null,P3,,
皆さんの意見が聞けて本当に嬉しいです。1日目は特に大切な日ですから、できるだけ多くの情報を交換してお,null,P3,,
みんな、意見がたくさん出ていて、とてもいい感じだね！1日目は特に大切だから、どんどん自分の考えを話し,null,P2,,
私もこの議論に参加して、みんなの意見を聞くのが楽しみです！初日は特に重要だから、どんどん意見を交わし,null,P3,,
皆さん、1日目の議論が活発で本当に嬉しいです。このまま意見を交わし続けて、より多くの情報を集めましょ,null,P4,,
皆さん、初日の議論が非常に活発で嬉しいです。お互いの意見をしっかりと聞いて、村の未来に向けて良い方向,null,P4,,
皆さん、1日目の議論がとても活発で嬉しいです。お互いの意見をしっかりと聞いて、村を守るためにどのよう,null,P4,,
みんな、意見がどんどん出てきていて、本当に素晴らしいね！初日の議論は特に大切だから、しっかりお互いの,null,P3,,
私も皆さんの意見を聞くのが楽しみです！初日は特に重要ですから、どんどん意見を交わして、村の未来を考え,null,P3,,
皆さん、本日の議論が活発で素晴らしいですね。初日はお互いの意見をしっかりと聞き、信頼関係を築く貴重な,null,P4,,
皆さん、意見交換が本当に素晴らしいですね。お互いの意見をしっかり聞くことが、村を守るための第一歩です,null,P4,,
皆さん、1日目の議論がとても充実していますね。お互いの意見を尊重しながら、村の未来を考えることが重要,null,P3,,
みんな、意見がどんどん出てきていて本当にいいね！お互いの考えを尊重することが大事だし、信頼関係を築く,null,P3,,
私も皆さんの意見をしっかり聞いて、信頼関係を築くことが大切だと思います！どんどん意見を出し合いましょ,null,P3,,
