text,mentions,affect,commitment_label,weight
@エージェントの皆さん、今日の様子はどうですか？何か気になることや情報があったら教えてくださいね！,null,P4,,
 @サクラ  今日は穏やかな雰囲気ですね。特に気になることはまだありませんが、皆さんの意見を聞いてみたいです。何か,"[{""target"": ""サクラ"", ""valence"": 1.0, ""raw"": ""@サクラ  今日は穏やかな雰囲気""}, {""target"": ""サクラ"", ""valence"": 1.0, ""raw"": ""@サクラ  今日は穏やかな雰囲""}]",P5,,
 @サクラ  今日はまだ特に気になることはありませんが、みんなの意見を聞くのが楽しみです！何か情報があれば教えてく,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ  今日はまだ特に気にな""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ  今日はまだ特に気に""}]",P5,,
 @サクラ   今日は穏やかな雰囲気ですね。私も特に気になることはありませんが、皆さんの意見を聞いてみたいです。他に,"[{""target"": ""サクラ"", ""valence"": 1.0, ""raw"": ""@サクラ   今日は穏やかな雰囲""}, {""target"": ""サクラ"", ""valence"": 1.0, ""raw"": ""@サクラ   今日は穏やかな雰""}]",P5,,
 @サクラ  今日は穏やかな雰囲気ですが、何か気になる情報や疑わしい点があれば教えてください。皆さんの意見を聞くの,"[{""target"": ""サクラ"", ""valence"": 1.0, ""raw"": ""@サクラ  今日は穏やかな雰囲気""}, {""target"": ""サクラ"", ""valence"": 1.0, ""raw"": ""@サクラ  今日は穏やかな雰囲""}]",P4,,
@セルヴァス そうですね、穏やかな雰囲気ですが、何か気になることがあればどんどん教えてくださいね！皆さ @ユミ  みんなの意見が楽しみですね！何か気になることがあったら、ぜひ教えてください！ @ミドリ 皆さんの意見を聞,"[{""target"": ""セルヴァス"", ""valence"": 1.0, ""raw"": ""@セルヴァス そうですね、穏やか""}, {""target"": ""セルヴァス"", ""valence"": 0.0, ""raw"": ""@セルヴァス そうですね、穏や""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""たら、ぜひ教えてください！ @ミドリ 皆さんの意見を聞""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""ったら、ぜひ教えてください！ @ミドリ 皆さんの意見を聞""}, {""target"": ""ユミ"", ""valence"": 0.5, ""raw"": ""どん教えてくださいね！皆さ @ユミ  みんなの意見が楽しみで""}, {""target"": ""ユミ"", ""valence"": 0.5, ""raw"": ""んどん教えてくださいね！皆さ @ユミ  みんなの意見が楽しみ""}]",P5,,
 @サクラ  皆さんの意見を聞くことがとても大切ですね。今のところ特に気になることはありませんが、他の皆さんの考え,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ  皆さんの意見を聞くこ""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ  皆さんの意見を聞く""}]",P5,,
 @ミドリ   みんなの意見を聞くのが楽しみですね！穏やかな雰囲気ですが、何か気になることがあれば教えてくださいね。,"[{""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ   みんなの意見を聞く""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ   みんなの意見を聞""}]",P5,,
 @ユミ  そうですね、皆さんの意見を聞くのが楽しみです。穏やかな雰囲気ですが、何か気になることがあればぜひ教え,"[{""target"": ""ユミ"", ""valence"": 0.0, ""raw"": ""@ユミ  そうですね、皆さんの意""}, {""target"": ""ユミ"", ""valence"": 0.0, ""raw"": ""@ユミ  そうですね、皆さんの""}]",P5,,
 @セルヴァス   皆さんの意見を聞くことは本当に重要です。特に今回は穏やかな雰囲気なので、何か気になる点があればぜひ教,"[{""target"": ""セルヴァス"", ""valence"": 0.0, ""raw"": ""@セルヴァス   皆さんの意見を""}, {""target"": ""セルヴァス"", ""valence"": 0.0, ""raw"": ""@セルヴァス   皆さんの意見""}]",P5,,
