text,mentions,affect,commitment_label,weight
皆さん、こんにちは！今日はどんな情報がありますか？@エージェント、何か気になることや疑問があれば教え,null,P3,,
 @ミドリ  こんにちは！今日はまだ始まったばかりですが、皆さんの印象や気になるエージェントについて話し合いましょ,"[{""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ  こんにちは！今日はま""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ  こんにちは！今日は""}]",P2,,
@ミドリ こんにちは！私はまだ具体的な情報はありませんが、皆さんの印象をしっかりと観察しています。気に @ケンジ  そうですね、皆さんの意見を聞くのが大事ですね。どなたか特に気になる方はいらっしゃいますか？,"[{""target"": ""ケンジ"", ""valence"": -0.2, ""raw"": ""かりと観察しています。気に @ケンジ  そうですね、皆さんの""}, {""target"": ""ケンジ"", ""valence"": -0.2, ""raw"": ""っかりと観察しています。気に @ケンジ  そうですね、皆さん""}, {""target"": ""ミドリ"", ""valence"": -0.5, ""raw"": ""@ミドリ こんにちは！私はまだ具""}, {""target"": ""ミドリ"", ""valence"": -1.0, ""raw"": ""@ミドリ こんにちは！私はまだ""}]",P3,,
@ミドリ こんにちは！私もまだ具体的な情報はありませんが、皆さんの意見を聞きながら、誰が怪しいかを見極 @ケンジ 、あなたの印象はいかがですか？他のエージェントについても気になることがあれば教えてください。,"[{""target"": ""ケンジ"", ""valence"": -0.2, ""raw"": ""ながら、誰が怪しいかを見極 @ケンジ 、あなたの印象はいかが""}, {""target"": ""ケンジ"", ""valence"": -0.2, ""raw"": ""きながら、誰が怪しいかを見極 @ケンジ 、あなたの印象はいか""}, {""target"": ""ミドリ"", ""valence"": -0.5, ""raw"": ""@ミドリ こんにちは！私もまだ具""}, {""target"": ""ミドリ"", ""valence"": -1.0, ""raw"": ""@ミドリ こんにちは！私もまだ""}]",P3,,
@ミドリ こんにちは。まだ具体的な情報はありませんが、皆さんの話を聞きながら印象を整理しています。 @ケンジ 、あなたの印象を聞かせてください。他のエージェントについても気になる点があれば教えてください。,"[{""target"": ""ケンジ"", ""valence"": 0.25, ""raw"": ""がら印象を整理しています。 @ケンジ 、あなたの印象を聞かせ""}, {""target"": ""ケンジ"", ""valence"": 0.25, ""raw"": ""ながら印象を整理しています。 @ケンジ 、あなたの印象を聞か""}, {""target"": ""ミドリ"", ""valence"": -0.5, ""raw"": ""@ミドリ こんにちは。まだ具体的""}, {""target"": ""ミドリ"", ""valence"": -0.5, ""raw"": ""@ミドリ こんにちは。まだ具体""}]",P3,,
 @ケンジ  こんにちは！皆さんの印象を聞くのは大事ですね。私はまだ具体的な情報はありませんが、みんなの意見をしっ,"[{""target"": ""ケンジ"", ""valence"": 0.0, ""raw"": ""@ケンジ  こんにちは！皆さんの""}, {""target"": ""ケンジ"", ""valence"": 0.0, ""raw"": ""@ケンジ  こんにちは！皆さん""}]",P3,,
 @ミドリ  こんにちは！私もまだ具体的な情報はないけれど、みんながどんな風に考えているのかを聞くのが楽しみだよ。,"[{""target"": ""ミドリ"", ""valence"": -1.0, ""raw"": ""@ミドリ  こんにちは！私もまだ""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ  こんにちは！私もま""}]",P3,,
@ミドリ こんにちは！皆さんの意見を聞くのが大事ですね。私も印象を整理しながら、怪しい人や気になること @ケンジ 、あなたの印象はどうですか？,"[{""target"": ""ケンジ"", ""valence"": -0.2857142857142857, ""raw"": ""ら、怪しい人や気になること @ケンジ 、あなたの印象はどうで""}, {""target"": ""ケンジ"", ""valence"": -0.2857142857142857, ""raw"": ""がら、怪しい人や気になること @ケンジ 、あなたの印象はどう""}, {""target"": ""ミドリ"", ""valence"": -0.5, ""raw"": ""@ミドリ こんにちは！皆さんの意""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ こんにちは！皆さんの""}]",P3,assert_suspecttion,medium
 @ケンジ  こんにちは！皆さんの意見を聞くのは大事ですね。あなたの印象や、他のエージェントについて気になることが,"[{""target"": ""ケンジ"", ""valence"": 0.0, ""raw"": ""@ケンジ  こんにちは！皆さんの""}, {""target"": ""ケンジ"", ""valence"": 0.0, ""raw"": ""@ケンジ  こんにちは！皆さん""}]",P3,,
 @ケンジ  皆さんの印象を聞くのは本当に重要ですね。@ミヅキ 、あなたの印象についても教えてください。気になるエー,"[{""target"": ""ケンジ"", ""valence"": 0.5, ""raw"": ""@ケンジ  皆さんの印象を聞くの""}, {""target"": ""ケンジ"", ""valence"": 0.5, ""raw"": ""@ケンジ  皆さんの印象を聞く""}, {""target"": ""ミヅキ"", ""valence"": 0.42857142857142855, ""raw"": ""を聞くのは本当に重要ですね。@ミヅキ 、あなたの印象について""}, {""target"": ""ミヅキ"", ""valence"": 0.42857142857142855, ""raw"": ""象を聞くのは本当に重要ですね。@ミヅキ 、あなたの印象につい""}]",P3,,
 @ケンジ   皆さんの意見を聞くのが楽しみですね。私は特に@ミヅキの印象が気になります。あなたはどう思いますか？他,"[{""target"": ""ケンジ"", ""valence"": 0.0, ""raw"": ""@ケンジ   皆さんの意見を聞く""}, {""target"": ""ケンジ"", ""valence"": -0.5, ""raw"": ""@ケンジ   皆さんの意見を聞""}, {""target"": ""ミヅキ"", ""valence"": 0.14285714285714285, ""raw"": ""くのが楽しみですね。私は特に@ミヅキの印象が気になります。あ""}, {""target"": ""ミヅキ"", ""valence"": 0.25, ""raw"": ""聞くのが楽しみですね。私は特に@ミヅキの印象が気になります。""}]",P3,assert_suspecttion,medium
