token	lang	score
あがく	ja	-1.0
あきらめる	ja	-1.0
あきる	ja	-1.0
あきれる	ja	-1.0
あきれる	ja	-1.0
あせる	ja	-1.0
あなどる	ja	-1.0
あやしむ	ja	-1.0
あやぶむ	ja	-1.0
あやまる	ja	-1.0
あらそ	ja	-1.0
あわてる	ja	-1.0
いたたまれない	ja	-1.0
いたむ	ja	-1.0
いつわる	ja	-1.0
いらだたしい	ja	-1.0
いら立つ	ja	-1.0
うつうつ	ja	-1.0
うなだれる	ja	-1.0
うなる	ja	-1.0
うらむ	ja	-1.0
うんざり	ja	-1.0
おちいる	ja	-1.0
おぼれる	ja	-1.0
かさばる	ja	-1.0
かなう	ja	-1.0
かなしむ	ja	-1.0
がたつく	ja	-1.0
がっくり	ja	-1.0
くさる	ja	-1.0
くずれる	ja	-1.0
くたびれる	ja	-1.0
くやむ	ja	-1.0
くるしむ	ja	-1.0
けだるい	ja	-1.0
こじらせる	ja	-1.0
こそばゆい	ja	-1.0
こたえる	ja	-1.0
こぼす	ja	-1.0
こまる	ja	-1.0
こりる	ja	-1.0
こわさ	ja	-1.0
さじ	ja	-1.0
しから	ja	-1.0
しくじる	ja	-1.0
しょぼくれる	ja	-1.0
しょんぼり	ja	-1.0
しんみり	ja	-1.0
せんない	ja	-1.0
たおれる	ja	-1.0
ためらう	ja	-1.0
だま	ja	-1.0
だます	ja	-1.0
だれる	ja	-1.0
ちがう	ja	-1.0
つぶす	ja	-1.0
つぶれる	ja	-1.0
つまずく	ja	-1.0
つらい	ja	-1.0
とがめる	ja	-1.0
なやむ	ja	-1.0
ねじれる	ja	-1.0
のぼせる	ja	-1.0
はげる	ja	-1.0
はずかしい	ja	-1.0
ばつ	ja	-1.0
ひきつる	ja	-1.0
ひっかかる	ja	-1.0
ひもじい	ja	-1.0
びびる	ja	-1.0
ふらつく	ja	-1.0
ぶつかる	ja	-1.0
ぶれる	ja	-1.0
ぼける	ja	-1.0
ぼける	ja	-1.0
まごつく	ja	-1.0
むかっと	ja	-1.0
むかつく	ja	-1.0
むせる	ja	-1.0
