text,mentions,affect,commitment_label,weight
皆さん、今日はどんな考えを持っていますか？特に気になるエージェントがいれば教えてくださいね。@エージ,null,P3,,
 @シズエ : 私はまだ特に気になるエージェントはいませんが、皆さんの意見を聞いてから判断したいと思っています。あ,"[{""target"": ""シズエ"", ""valence"": 0.0, ""raw"": ""@シズエ : 私はまだ特に気にな""}, {""target"": ""シズエ"", ""valence"": 0.0, ""raw"": ""@シズエ : 私はまだ特に気に""}]",P3,,
 @シズエ : 私も特に気になるエージェントはいないけど、みんなの意見を聞いてみたいな。何か気になることがあったら,"[{""target"": ""シズエ"", ""valence"": 0.0, ""raw"": ""@シズエ : 私も特に気になるエ""}, {""target"": ""シズエ"", ""valence"": 0.0, ""raw"": ""@シズエ : 私も特に気になる""}]",P3,,
@シズエ: そうですね、私もまだ特に気になるエージェントはいません。でも、皆さんの考えを聞いていくうち @シュンイチ 、@ミナト、他に何か気になることや意見があれば教えてください！,"[{""target"": ""シズエ"", ""valence"": 0.0, ""raw"": ""@シズエ: そうですね、私もまだ""}, {""target"": ""シズエ"", ""valence"": 0.0, ""raw"": ""@シズエ: そうですね、私もま""}, {""target"": ""シュンイチ"", ""valence"": 0.0, ""raw"": ""さんの考えを聞いていくうち @シュンイチ 、@ミナト、他に何""}, {""target"": ""シュンイチ"", ""valence"": 0.0, ""raw"": ""皆さんの考えを聞いていくうち @シュンイチ 、@ミナト、他に""}, {""target"": ""ミナト"", ""valence"": 0.0, ""raw"": ""ていくうち @シュンイチ 、@ミナト、他に何か気になることや""}, {""target"": ""ミナト"", ""valence"": 0.0, ""raw"": ""いていくうち @シュンイチ 、@ミナト、他に何か気になること""}]",P3,,
@シズエ: 私も特に気になるエージェントはいませんが、皆さんの意見を聞いて、少しずつ状況を分析していき @シュンイチ 、@ミナト、@ミオ、何か気になることがあれば教えてください。,"[{""target"": ""シズエ"", ""valence"": 0.0, ""raw"": ""@シズエ: 私も特に気になるエー""}, {""target"": ""シズエ"", ""valence"": 0.0, ""raw"": ""@シズエ: 私も特に気になるエ""}, {""target"": ""シュンイチ"", ""valence"": 0.0, ""raw"": ""少しずつ状況を分析していき @シュンイチ 、@ミナト、@ミオ""}, {""target"": ""シュンイチ"", ""valence"": 0.0, ""raw"": ""、少しずつ状況を分析していき @シュンイチ 、@ミナト、@ミ""}, {""target"": ""ミオ"", ""valence"": 0.0, ""raw"": "" @シュンイチ 、@ミナト、@ミオ、何か気になることがあれば""}, {""target"": ""ミオ"", ""valence"": 0.0, ""raw"": ""き @シュンイチ 、@ミナト、@ミオ、何か気になることがあれ""}, {""target"": ""ミナト"", ""valence"": 0.0, ""raw"": ""析していき @シュンイチ 、@ミナト、@ミオ、何か気になるこ""}, {""target"": ""ミナト"", ""valence"": 0.0, ""raw"": ""分析していき @シュンイチ 、@ミナト、@ミオ、何か気になる""}]",P3,,
皆さん、意見を出してくれてありがとうございます。@シュンイチ、@ミナト、@ミオ、 @シオン 、皆さんの考えを聞いていると、まだ特に怪しいと感じるエージェントはいないようですね。もう少し話し合っ,"[{""target"": ""シオン"", ""valence"": 0.0, ""raw"": ""ンイチ、@ミナト、@ミオ、 @シオン 、皆さんの考えを聞いて""}, {""target"": ""シオン"", ""valence"": 0.0, ""raw"": ""ュンイチ、@ミナト、@ミオ、 @シオン 、皆さんの考えを聞い""}, {""target"": ""シュンイチ"", ""valence"": 0.0, ""raw"": ""くれてありがとうございます。@シュンイチ、@ミナト、@ミオ、""}, {""target"": ""シュンイチ"", ""valence"": 0.0, ""raw"": ""てくれてありがとうございます。@シュンイチ、@ミナト、@ミオ""}, {""target"": ""ミオ"", ""valence"": 0.0, ""raw"": ""す。@シュンイチ、@ミナト、@ミオ、 @シオン 、皆さんの考""}, {""target"": ""ミオ"", ""valence"": 0.0, ""raw"": ""ます。@シュンイチ、@ミナト、@ミオ、 @シオン 、皆さんの""}, {""target"": ""ミナト"", ""valence"": 0.0, ""raw"": ""うございます。@シュンイチ、@ミナト、@ミオ、 @シオン 、""}, {""target"": ""ミナト"", ""valence"": 0.0, ""raw"": ""とうございます。@シュンイチ、@ミナト、@ミオ、 @シオン ""}]",P2,,
 @ミナト : そうですね、まだ状況がつかめないですね。皆さんの意見を参考にして、少しずつ判断していきたいと思いま,"[{""target"": ""ミナト"", ""valence"": 0.0, ""raw"": ""@ミナト : そうですね、まだ状""}, {""target"": ""ミナト"", ""valence"": 0.0, ""raw"": ""@ミナト : そうですね、まだ""}]",P3,,
 @シュンイチ  : そうだね、まだ情報が少ないから、みんなの意見を聞いていくことが大事だと思うよ。何か気になることがあ,"[{""target"": ""シュンイチ"", ""valence"": 0.0, ""raw"": ""@シュンイチ  : そうだね、ま""}, {""target"": ""シュンイチ"", ""valence"": 0.0, ""raw"": ""@シュンイチ  : そうだね、""}]",P5,,
@シュンイチ、@ミナト、@シズエ、 @シオン 、皆さんの意見を聞いていると、まだ特に怪しいと感じるエージェントはいないようですね。でも、これからの,"[{""target"": ""シオン"", ""valence"": 0.0, ""raw"": ""イチ、@ミナト、@シズエ、 @シオン 、皆さんの意見を聞いて""}, {""target"": ""シオン"", ""valence"": 0.0, ""raw"": ""ンイチ、@ミナト、@シズエ、 @シオン 、皆さんの意見を聞い""}, {""target"": ""シズエ"", ""valence"": 0.0, ""raw"": ""@シュンイチ、@ミナト、@シズエ、 @シオン 、皆さんの""}, {""target"": ""シズエ"", ""valence"": 0.0, ""raw"": ""@シュンイチ、@ミナト、@シズエ、 @シオン 、皆さん""}, {""target"": ""シュンイチ"", ""valence"": 0.0, ""raw"": ""@シュンイチ、@ミナト、@シズエ""}, {""target"": ""シュンイチ"", ""valence"": 0.0, ""raw"": ""@シュンイチ、@ミナト、@シズ""}, {""target"": ""ミナト"", ""valence"": 0.0, ""raw"": ""@シュンイチ、@ミナト、@シズエ、 @シオン ""}, {""target"": ""ミナト"", ""valence"": 0.0, ""raw"": ""@シュンイチ、@ミナト、@シズエ、 @シオン""}]",P2,,
 @シュンイチ 、@ミナト、@ミオ、私もまだ特に怪しいと感じるエージェントはいませんが、今後の議論で新しい情報が出て,"[{""target"": ""シュンイチ"", ""valence"": 0.0, ""raw"": ""@シュンイチ 、@ミナト、@ミオ""}, {""target"": ""シュンイチ"", ""valence"": 0.0, ""raw"": ""@シュンイチ 、@ミナト、@ミ""}, {""target"": ""ミオ"", ""valence"": -0.5, ""raw"": ""@シュンイチ 、@ミナト、@ミオ、私もまだ特に怪しいと感じ""}, {""target"": ""ミオ"", ""valence"": -1.0, ""raw"": ""@シュンイチ 、@ミナト、@ミオ、私もまだ特に怪しいと感""}, {""target"": ""ミナト"", ""valence"": 0.0, ""raw"": ""@シュンイチ 、@ミナト、@ミオ、私もまだ特に怪""}, {""target"": ""ミナト"", ""valence"": 0.0, ""raw"": ""@シュンイチ 、@ミナト、@ミオ、私もまだ特に""}]",P3,,
