text,mentions,affect,commitment_label,weight
皆さん、今日は0日目なので、まずは自己紹介をして、どんな役職か確認し合いましょう！まずは、@アヤさん,null,P3,,
@アヤさん、自己紹介をお願いします。あなたの役職についても教えてください。,null,P3,,
@アヤさん、自己紹介をお願いします。あなたの役職についても教えてください。,null,P3,,
@アヤさん、自己紹介をお願いします！あなたの役職についても教えてね！,null,P3,,
@アヤさん、皆さんが待っています。自己紹介と役職についてお話ししていただけますか？,null,P3,,
@アヤさん、皆さんが待っています！自己紹介とあなたの役職についてお話ししていただけますか？,null,P3,,
@アヤさん、自己紹介をお願いします。あなたの役職についても教えてください。,null,P3,,
@アヤさん、皆さんが待っています。自己紹介と役職についてお話ししていただけますか？,null,P3,,
@アヤさん、まだ自己紹介が聞けていないので、ぜひお話ししてもらえますか？あなたの役職についても教えて,null,P3,,
@アヤさん、皆さんが待っています。自己紹介と役職についてお話ししていただけますか？,null,P3,,
@アヤさん、皆さんが待っています！自己紹介とあなたの役職についてお話ししていただけますか？,null,P3,,
@アヤさん、皆さんからのリクエストが多いですが、ぜひ自己紹介と役職についてお話ししていただけますか？,null,P2,,
@アヤさん、皆さんが待っています。自己紹介と役職についてお話ししていただけますか？,null,P3,,
@アヤさん、皆さんが待っているので、自己紹介と役職についてお話ししていただけませんか？,null,P3,,
@アヤさん、皆さんが興味津々のようです。自己紹介と役職についてお話ししていただけますか？,null,P4,,
@アヤさん、皆さんがとても興味を持っています！自己紹介と役職についてお話ししていただけますか？,null,P4,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています。どうぞお話,null,P4,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています。どうぞお話,null,P4,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています。どうぞお話,null,P4,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています。どうぞお話,null,P4,,
@アヤさん、まだ自己紹介と役職についてお話ししていないみたいですね！ぜひ、教えてください！,null,P3,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています。どうぞお話,null,P4,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています。どうぞお話,null,P4,,
@アヤさん、まだ皆さんからの自己紹介を聞いていないようです。ぜひ、あなたの役職について教えてください,null,P3,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています。どうぞお話,null,P4,,
@アヤさん、みんながあなたの自己紹介を待っていますよ！ぜひ、教えてくださいね！,null,P3,,
@アヤさん、皆さんがあなたの自己紹介を楽しみにしています！ぜひ、役職についてもお話ししてもらえますか,null,P4,,
@アヤさん、皆さんがあなたの自己紹介を待っています。ぜひ、お話ししていただけますか？あなたの役職につ,null,P3,,
@アヤさん、皆さんがあなたの自己紹介を待っています。ぜひ、役職について教えてください。,null,P3,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています。どうぞお話,null,P4,,
@アヤさん、みんながあなたの自己紹介と役職について本当に楽しみにしています！お話ししてくれると嬉しい,null,P5,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています！どうぞお話,null,P4,,
@アヤさん、皆さんがあなたの自己紹介と役職について待っています。ぜひ、お話ししていただけますか？,null,P3,,
@アヤさん、皆さんがあなたの自己紹介を待っています。ぜひ、役職についてお話ししていただけますか？,null,P3,,
@アヤさん、皆さんがあなたの自己紹介と役職についてお話ししてくれるのを楽しみにしています。どうぞお話,null,P4,,
@アヤさん、まだお話ししていないようですが、自己紹介と役職について教えてもらえますか？みんなが聞きた,null,P3,,
@アヤさん、まだお話しされていないようですが、自己紹介と役職について教えてもらえますか？皆さんがとて,null,P3,,
@アヤさん、皆さんがあなたの自己紹介と役職についてとても興味を持っています。ぜひ、お話ししていただけ,null,P4,,
@アヤさん、皆さんがあなたの自己紹介をとても楽しみにしています。ぜひ、役職についてお話ししていただけ,null,P4,,
@アヤさん、皆さんがあなたの自己紹介と役職について聞きたがっています。お話ししていただけますか？,null,P3,,
 @ダイスケ さん、昨夜の占い結果について何か考えがありますか？あなたの意見を聞かせてください。,"[{""target"": ""ダイスケ"", ""valence"": 0.0, ""raw"": ""@ダイスケ さん、昨夜の占い結果""}, {""target"": ""ダイスケ"", ""valence"": 0.0, ""raw"": ""@ダイスケ さん、昨夜の占い結""}]",P3,,
 @ダイスケ さん、昨夜の占い結果について、あなたの考えをお聞かせいただけますか？どのように感じていますか？,"[{""target"": ""ダイスケ"", ""valence"": 0.0, ""raw"": ""@ダイスケ さん、昨夜の占い結果""}, {""target"": ""ダイスケ"", ""valence"": 0.0, ""raw"": ""@ダイスケ さん、昨夜の占い結""}]",P3,,
 @ジョージ さん、昨夜の占い結果についてですが、正直なところ、少し不安を感じています。どんな結果が出たのかによっ,"[{""target"": ""ジョージ"", ""valence"": 0.0, ""raw"": ""@ジョージ さん、昨夜の占い結果""}, {""target"": ""ジョージ"", ""valence"": 0.0, ""raw"": ""@ジョージ さん、昨夜の占い結""}]",P3,,
 @ダイスケ さん、昨夜の占い結果について不安を感じているんですね。どのような結果が出たのか、もし話せる範囲で教え,"[{""target"": ""ダイスケ"", ""valence"": 0.0, ""raw"": ""@ダイスケ さん、昨夜の占い結果""}, {""target"": ""ダイスケ"", ""valence"": 0.0, ""raw"": ""@ダイスケ さん、昨夜の占い結""}]",P2,,
 @ダイスケ  さん、昨夜の占い結果についてお話ししてくださったようですが、具体的にどのような結果だったのか、教えて,"[{""target"": ""ダイスケ"", ""valence"": 0.0, ""raw"": ""@ダイスケ  さん、昨夜の占い結""}, {""target"": ""ダイスケ"", ""valence"": 0.0, ""raw"": ""@ダイスケ  さん、昨夜の占い""}]",P3,,
 @ダイスケ  さん、昨夜の占い結果についてお話ししていただけると助かります。具体的にどのような結果が出たのか、教え,"[{""target"": ""ダイスケ"", ""valence"": 0.0, ""raw"": ""@ダイスケ  さん、昨夜の占い結""}, {""target"": ""ダイスケ"", ""valence"": 0.0, ""raw"": ""@ダイスケ  さん、昨夜の占い""}]",P3,,
 @ジョージ  さん、昨夜の占い結果についてですが、実は私もあまり詳しくはわからないんです。どのような結果が出たのか,"[{""target"": ""ジョージ"", ""valence"": 0.0, ""raw"": ""@ジョージ  さん、昨夜の占い結""}, {""target"": ""ジョージ"", ""valence"": 0.0, ""raw"": ""@ジョージ  さん、昨夜の占い""}]",P3,,
 @ダイスケ  さん、詳しくわからないとのことですが、もし何か気になることがあれば教えてくださいね。みんなで情報を共,"[{""target"": ""ダイスケ"", ""valence"": 0.0, ""raw"": ""@ダイスケ  さん、詳しくわから""}, {""target"": ""ダイスケ"", ""valence"": 0.0, ""raw"": ""@ダイスケ  さん、詳しくわか""}]",P4,,
 @ダイスケ  さん、占い結果についてあまり詳しくわからないとのことですが、他に何か気になることや、特に怪しいと思う,"[{""target"": ""ダイスケ"", ""valence"": 0.0, ""raw"": ""@ダイスケ  さん、占い結果につ""}, {""target"": ""ダイスケ"", ""valence"": 0.0, ""raw"": ""@ダイスケ  さん、占い結果に""}]",P1,,
 @リン さん、ダイスケさんの占い結果については不明とのことですが、あなたは誰か特に怪しいと思う人がいますか？,"[{""target"": ""ダイスケ"", ""valence"": 0.0, ""raw"": ""@リン さん、ダイスケさんの占い結果について""}, {""target"": ""リン"", ""valence"": 0.0, ""raw"": ""@リン さん、ダイスケさんの占い""}, {""target"": ""リン"", ""valence"": 0.0, ""raw"": ""@リン さん、ダイスケさんの占""}]",P2,,
 @ジョージ  さん、占い結果について私も知りたいです。もし何か具体的なことがわかれば教えてください。皆で協力してい,"[{""target"": ""ジョージ"", ""valence"": 0.0, ""raw"": ""@ジョージ  さん、占い結果につ""}, {""target"": ""ジョージ"", ""valence"": 0.0, ""raw"": ""@ジョージ  さん、占い結果に""}]",P4,,
 @ベンジャミン  さん、私は今のところ特に怪しいと思う人はいないけど、ダイスケさんの占い結果についての情報が気になるな,"[{""target"": ""ダイスケ"", ""valence"": -1.0, ""raw"": ""に怪しいと思う人はいないけど、ダイスケさんの占い結果について""}, {""target"": ""ベンジャミン"", ""valence"": 0.0, ""raw"": ""@ベンジャミン  さん、私は今の""}, {""target"": ""ベンジャミン"", ""valence"": 0.0, ""raw"": ""@ベンジャミン  さん、私は今""}]",P3,,
