text,mentions,affect,commitment_label,weight
皆さん、昼の時間が始まりましたね。まずは、誰が怪しいと思うか、意見を聞かせてください。何か気になる行,null,P2,,
シオン: 私はまだ誰が怪しいか判断できていませんが、皆さんの意見を聞いて参考にしたいと思います。特に、,"[{""target"": ""シオン"", ""valence"": -0.5, ""raw"": ""シオン: 私はまだ誰が怪しいか""}]",P2,assert_maybe_villager_side,light
私もまだ判断がついていませんが、他の皆さんの意見を聞くことが大切だと思います。特に、何か気になる行動,null,P3,assert_maybe_villager_side,light
私もまだ誰が怪しいか判断しきれていませんが、皆さんの意見を参考にしたいと思います。特に、最近の行動や,null,P1,assert_maybe_wolf_side,light
みんな、意見を出してくれてありがとう！私もまだ誰が怪しいかは分からないけど、皆の意見を聞いて参考にし,null,P2,assert_maybe_wolf_side,light
ベンジャミン: 皆さん、意見を共有してくれてありがとうございます。まだ判断が難しい段階ですが、他の人の,"[{""target"": ""ベンジャミン"", ""valence"": -0.5, ""raw"": ""ベンジャミン: 皆さん、意見を""}]",P1,,
シオン: 皆さんの意見を聞いていると、まだ判断が難しいですが、特に最近の行動に注目する必要がありますね,"[{""target"": ""シオン"", ""valence"": -0.25, ""raw"": ""シオン: 皆さんの意見を聞いて""}]",P2,,
私たち全員がまだ判断がつかない段階ですね。最近の行動を観察することが重要だと思います。特に、誰かが急,null,P2,,
私も皆さんの意見を聞くことが大切だと思います。最近の行動を注視し、誰が怪しいのかを見極めるために、お,null,P3,,
私も皆さんの意見に同意します。まだ情報が少ないですが、行動に注目していくのが大事ですね。特に、誰かの,null,P3,assert_maybe_villager_side,light
ベンジャミン: 皆さんの意見を伺っていると、確かに情報が不足している現状では、行動を観察することが重要,"[{""target"": ""ベンジャミン"", ""valence"": -0.5, ""raw"": ""ベンジャミン: 皆さんの意見を""}]",P3,,
シオン: 確かに、現時点では情報が限られていますね。行動を観察しつつ、誰か特定の人物に注目する必要があ,"[{""target"": ""シオン"", ""valence"": 0.5, ""raw"": ""シオン: 確かに、現時点では情""}]",P3,,
そうですね、皆さんの意見を聞いていると、やはり行動観察が非常に重要だと思います。この段階では、特に誰,null,P2,,
トシオ: 皆さんの意見は非常に参考になりますね。情報が限られている今、特に注意が必要なのは、発言内容や,"[{""target"": ""トシオ"", ""valence"": -0.3333333333333333, ""raw"": ""トシオ: 皆さんの意見は非常に""}]",P3,,
私も皆さんの意見に賛成です。行動観察が重要ですね。特に、発言や行動に不自然な点があったら、そこに注目,null,P2,assert_maybe_villager_side,light
ベンジャミン: 皆さんの意見に賛同します。行動を観察することで、誰が本当に信頼できるのか、または疑わし,"[{""target"": ""ベンジャミン"", ""valence"": -0.5, ""raw"": ""ベンジャミン: 皆さんの意見に""}]",P3,assert_maybe_villager_side,light
シオン: 皆さんの意見に賛成です。行動観察は重要ですが、特に怪しい動きがあった場合には、しっかりとその,"[{""target"": ""シオン"", ""valence"": 0.0, ""raw"": ""シオン: 皆さんの意見に賛成で""}]",P3,,
そうですね、行動観察の重要性が皆さんの間で共通認識になっているのは良いことです。特に、発言や行動に不,null,P3,,
トシオ: 確かに、皆さんの言う通りです。行動観察は非常に重要です。特に、発言や行動に矛盾が生じた際には,"[{""target"": ""トシオ"", ""valence"": 0.5, ""raw"": ""トシオ: 確かに、皆さんの言う""}]",P3,,
みんな、行動観察の重要性について話し合っていますね。やっぱり、発言や行動に矛盾がある人がいれば、そこ,null,P2,,
みなさん、行動観察の重要性について引き続き話し合いましょう。前回の昼の話し合いの中で、特に怪しい動き,null,P2,assert_suspecttion,medium
行動観察についての話が続いていますが、具体的な疑惑を持った人物がいるのであれば、その点についても話し,null,P2,assert_suspecttion,medium
みんな、具体的な疑惑を持った人物がいれば、その点についても話し合いましょう！誰か気になる人がいますか,null,P2,,
皆さん、具体的な疑惑を持った人物について話し合うことが重要です。私は、発言や行動に矛盾が見られる人物,null,P2,assert_suspecttion,medium
そうですね、具体的な疑惑を持った人物について話し合うのは非常に重要です。私も気になることがありますの,null,P2,,
皆さん、具体的な疑惑について話し合うのは良い考えです。私が考えているのは、やはり行動や発言に一貫性が,null,P3,,
確かに、具体的な疑惑を持った人物について話し合うことは重要です。私も気になる人物がいます。皆さんの意,null,P3,assert_suspecttion,medium
みんな、具体的な疑惑を持った人物について話し合っているのですね。私は、やっぱり行動や発言に矛盾がある,null,P1,assert_suspecttion,medium
皆さん、具体的な疑惑を持った人物についての意見が出ていますね。私も気になる人物がいますが、やはり行動,null,P2,assert_suspecttion,medium
そうですね、具体的な疑惑を持った人物について話し合うのは非常に重要です。私が気になるのは、トシオさん,"[{""target"": ""トシオ"", ""valence"": 0.5, ""raw"": ""に重要です。私が気になるのは、トシオさん""}]",P3,assert_suspecttion,medium
皆さん、具体的な疑惑について話し合うのは良い考えです。私も気になる人物がいますが、まずは他の意見を聞,null,P3,,
私が気になる人物についてお話ししましょう。ミドリさん、私に疑惑を持っているようですが、具体的にどのよ,"[{""target"": ""ミドリ"", ""valence"": -0.42857142857142855, ""raw"": ""人物についてお話ししましょう。ミドリさん、私に疑惑を持ってい""}]",P2,assert_suspecttion,medium
ミドリさん、私が気になるのはあなたの疑いの根拠です。具体的にどのような行動が怪しいと思ったのか教えて,"[{""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""ミドリさん、私が気になるのはあ""}]",P2,assert_suspecttion,medium
